Elite CSV,fittest,mean,mean links,max links,mean joins,max joins,max vertical distance,mean vertical distance
50,5.548,1.156,2.0,3,2.0,3,5.548,1.156
75,5.548,1.335,2.0,5,2.0,5,5.548,1.335
73,5.548,1.778,2.0,2,2.0,2,5.548,1.778
72,5.548,1.208,2.0,3,2.0,3,5.548,1.208
71,5.548,1.227,2.0,4,2.0,4,5.548,1.227
70,5.548,1.896,2.0,4,2.0,4,5.548,1.896
69,5.548,1.838,2.0,5,2.0,5,5.548,1.838
68,5.548,2.285,2.0,5,2.0,5,5.548,2.285
67,5.548,3.678,2.0,2,2.0,2,5.548,3.678
66,5.548,1.236,2.0,2,2.0,2,5.548,1.236
65,5.548,1.656,2.0,5,2.0,5,5.548,1.656
64,5.548,1.16,2.0,3,2.0,3,5.548,1.16
63,5.548,1.979,2.0,4,2.0,4,5.548,1.979
62,5.548,2.591,2.0,2,2.0,2,5.548,2.591
61,5.548,1.755,2.0,3,2.0,3,5.548,1.755
60,5.548,1.825,2.0,5,2.0,5,5.548,1.825
59,5.548,1.915,2.0,5,2.0,5,5.548,1.915
58,5.548,1.004,2.0,3,2.0,3,5.548,1.004
57,5.548,0.856,2.0,4,2.0,4,5.548,0.856
56,5.548,1.877,2.0,3,2.0,3,5.548,1.877
55,5.548,3.005,2.0,5,2.0,5,5.548,3.005
54,5.548,2.434,2.0,5,2.0,5,5.548,2.434
53,5.548,1.669,2.0,4,2.0,4,5.548,1.669
74,5.548,1.758,2.0,2,2.0,2,5.548,1.758
76,5.548,1.574,2.0,4,2.0,4,5.548,1.574
51,5.548,2.058,2.0,4,2.0,4,5.548,2.058
77,5.548,1.33,3.0,6,3.0,6,5.548,1.33
98,5.548,1.929,3.0,5,3.0,5,5.548,1.929
97,5.548,1.42,2.0,3,2.0,3,5.548,1.42
96,5.548,2.479,2.0,3,2.0,3,5.548,2.479
95,5.548,2.029,2.0,4,2.0,4,5.548,2.029
94,5.548,2.622,2.0,2,2.0,2,5.548,2.622
93,5.548,2.311,2.0,4,2.0,4,5.548,2.311
92,5.548,2.287,2.0,3,2.0,3,5.548,2.287
91,5.548,1.158,2.0,2,2.0,2,5.548,1.158
90,5.548,1.872,2.0,3,2.0,3,5.548,1.872
89,5.548,2.267,2.0,2,2.0,2,5.548,2.267
88,5.548,2.017,2.0,4,2.0,4,5.548,2.017
87,5.548,1.771,2.0,5,2.0,5,5.548,1.771
86,5.548,0.999,3.0,5,3.0,5,5.548,0.999
85,5.548,1.25,2.0,3,2.0,3,5.548,1.25
84,5.548,2.455,2.0,3,2.0,3,5.548,2.455
83,5.548,1.04,2.0,5,2.0,5,5.548,1.04
82,5.548,1.563,3.0,5,3.0,5,5.548,1.563
81,5.548,1.471,3.0,5,3.0,5,5.548,1.471
80,5.548,2.093,2.0,3,2.0,3,5.548,2.093
79,5.548,1.111,2.0,5,2.0,5,5.548,1.111
78,5.548,1.729,2.0,3,2.0,3,5.548,1.729
52,5.548,0.99,2.0,4,2.0,4,5.548,0.99
99,5.548,2.159,3.0,5,3.0,5,5.548,2.159
38,5.548,2.053,2.0,2,2.0,2,5.548,2.053
40,5.548,2.142,2.0,4,2.0,4,5.548,2.142
31,5.548,1.775,2.0,3,2.0,3,5.548,1.775
32,5.548,1.682,3.0,9,3.0,9,5.548,1.682
33,5.548,3.303,2.0,4,2.0,4,5.548,3.303
34,5.548,1.425,2.0,4,2.0,4,5.548,1.425
35,5.548,1.372,3.0,7,3.0,7,5.548,1.372
36,5.548,1.702,3.0,11,3.0,11,5.548,1.702
37,5.548,1.931,2.0,3,2.0,3,5.548,1.931
49,5.548,2.812,2.0,3,2.0,3,5.548,2.812
39,5.548,2.143,2.0,2,2.0,2,5.548,2.143
41,5.548,1.039,2.0,5,2.0,5,5.548,1.039
42,5.548,1.285,2.0,5,2.0,5,5.548,1.285
43,5.548,1.812,3.0,7,3.0,7,5.548,1.812
44,5.548,1.212,3.0,6,3.0,6,5.548,1.212
45,5.548,1.49,2.0,5,2.0,5,5.548,1.49
46,5.548,1.679,2.0,5,2.0,5,5.548,1.679
47,5.548,1.03,2.0,2,2.0,2,5.548,1.03
48,5.548,2.557,2.0,2,2.0,2,5.548,2.557
30,5.505,2.644,2.0,5,2.0,5,5.505,2.644
29,5.297,2.162,2.0,4,2.0,4,5.297,2.162
28,5.232,2.103,2.0,4,2.0,4,5.232,2.103
25,5.169,0.94,2.0,3,2.0,3,5.169,0.94
24,5.169,1.363,2.0,2,2.0,2,5.169,1.363
26,5.169,1.648,2.0,3,2.0,3,5.169,1.648
27,5.169,1.636,2.0,2,2.0,2,5.169,1.636
23,4.698,2.204,2.0,3,2.0,3,4.698,2.204
22,4.671,1.663,2.0,3,2.0,3,4.671,1.663
21,4.671,2.047,2.0,2,2.0,2,4.671,2.047
20,4.438,1.217,2.0,4,2.0,4,4.438,1.217
19,4.438,1.614,2.0,3,2.0,3,4.438,1.614
18,4.426,1.039,3.0,5,3.0,5,4.426,1.039
17,4.426,1.267,2.0,5,2.0,5,4.426,1.267
15,4.414,1.382,2.0,3,2.0,3,4.414,1.382
16,4.414,1.189,2.0,3,2.0,3,4.414,1.189
14,4.25,1.836,5.0,16,5.0,16,4.25,1.836
13,4.095,1.39,7.0,16,7.0,16,4.095,1.39
12,4.095,2.28,5.0,7,5.0,7,4.095,2.28
11,4.077,1.192,4.0,9,4.0,9,4.077,1.192
10,3.649,1.726,7.0,9,7.0,9,3.649,1.726
4,3.156,1.455,7.0,23,7.0,23,3.156,1.455
9,3.156,1.566,5.0,8,5.0,8,3.156,1.566
8,3.156,1.521,5.0,8,5.0,8,3.156,1.521
7,3.156,1.084,5.0,8,5.0,8,3.156,1.084
6,3.156,1.469,5.0,7,5.0,7,3.156,1.469
5,3.156,1.264,5.0,9,5.0,9,3.156,1.264
2,1.973,1.015,3.0,5,3.0,5,1.973,1.015
3,1.973,0.965,6.0,13,6.0,13,1.973,0.965
1,1.881,0.723,4.0,10,4.0,10,1.881,0.723
0,1.881,0.534,6.0,7,6.0,7,1.881,0.534
